source,target,estimated_trips
SWE,GBR,1836467
ROU,UKR,1829929
UKR,ROU,1829929
CAN,CUB,1829582
BLR,UKR,1827485
UKR,BLR,1827485
CUB,CAN,1825711
GBR,SWE,1824661
CRI,USA,1812178
CHN,PHL,1810402
PHL,CHN,1810402
KWT,ARE,1807898
ESP,SWE,1807446
HUN,SVK,1805228
SVK,HUN,1805228
USA,CRI,1798934
ARE,KWT,1785722
BHS,USA,1782917
USA,BHS,1781052
SWE,ESP,1777774
GBR,CYP,1765227
GRC,MKD,1761604
MKD,GRC,1761604
ESP,DNK,1760534
DNK,ESP,1759283
NOR,ESP,1756602
ESP,NOR,1740742
IRL,USA,1735890
USA,IRL,1735890
SGP,IND,1732216
CYP,GBR,1730289
SWZ,ZAF,1707838
ZAF,SWZ,1707838
GBR,IND,1703090
AUS,GBR,1696334
GBR,AUS,1696334
IND,SGP,1691293
GBR,ARE,1677296
PHL,HKG,1675082
IND,THA,1671924
CAN,FRA,1671145
FRA,CAN,1671145
ARG,PRY,1662256
PRY,ARG,1662256
CAN,GBR,1661255
GBR,CAN,1661255
FRA,TUN,1654314
THA,IND,1653448
AUT,CHE,1653391
CHE,AUT,1653391
IND,GBR,1652092
HKG,PHL,1643105
AZE,RUS,1640558
RUS,AZE,1640558
IDN,AUS,1639644
ARE,GBR,1622427
AUS,IDN,1617063
GBR,NOR,1610054
NOR,GBR,1599450
ROU,ITA,1594204
ITA,ROU,1588200
TUN,FRA,1585881
AUT,HUN,1583825
HUN,AUT,1583825
QAT,SAU,1582485
SAU,QAT,1582485
SGP,HKG,1574693
DEU,SWE,1557063
PHL,SGP,1556491
SWE,DEU,1551840
SGP,PHL,1549988
HKG,SGP,1548651
EST,LVA,1539519
LVA,EST,1539519
CZE,ITA,1518684
ITA,CZE,1518684
DEU,NOR,1513720
NOR,DEU,1513720
FRA,GRC,1474332
GRC,FRA,1474332
CHN,MNG,1473620
MNG,CHN,1473620
AUS,SGP,1467124
SGP,AUS,1467124
GBR,HUN,1466621
CHL,PER,1459485
PER,CHL,1459485
HRV,SVN,1451482
SVN,HRV,1451482
HUN,UKR,1450215
UKR,HUN,1450215
BRN,MYS,1445390
MYS,BRN,1445390
CHE,PRT,1445269
JOR,SAU,1429265
SAU,JOR,1429265
ARE,IRN,1427610
HUN,GBR,1427131
IRN,ARE,1424265
PRT,CHE,1421813
CZE,GBR,1415080
GBR,CZE,1400233
THA,VNM,1399534
VNM,THA,1386497
JPN,PHL,1383357
GBR,AUT,1377806
AUT,GBR,1376798
OMN,IND,1376186
GTM,SLV,1372823
SLV,GTM,1372823
CHE,USA,1368185
USA,CHE,1368185
ISR,USA,1368039
NLD,USA,1367501
PHL,JPN,1365214
USA,ISR,1363552
AUT,HRV,1363024
HRV,AUT,1363024
USA,ARG,1362584
CAN,CHN,1350927
CHN,CAN,1350927
IND,OMN,1345765
AUT,ESP,1329708
ESP,AUT,1329708
USA,NLD,1321820
MYS,IND,1320556
NOR,SWE,1316858
SWE,NOR,1313971
ARG,USA,1311335
ARE,OMN,1307011
OMN,ARE,1301900
AZE,IRN,1300740
IRN,AZE,1300740
JPN,SGP,1290561
IND,MYS,1288117
HRV,ITA,1284670
ITA,HRV,1284670
SGP,JPN,1284292
USA,PHL,1272784
CZE,SVK,1263620
SVK,CZE,1263620
DEU,IRL,1256783
IRL,DEU,1253231
TUR,UKR,1228780
UKR,TUR,1228780
EGY,KWT,1223310
THA,KHM,1214245
SAU,TUR,1213380
TUR,SAU,1213380
NOR,POL,1208951
KWT,EGY,1207685
POL,NOR,1205373
FRA,POL,1203295
POL,FRA,1203295
AUT,FRA,1203128
FRA,AUT,1203128
PHL,USA,1199667
RUS,ESP,1197717
UZB,RUS,1194680
RUS,ITA,1192956
DNK,SWE,1186755
ECU,USA,1182477
ITA,RUS,1179209
USA,ECU,1175750
SWE,DNK,1175375
ESP,RUS,1172438
ARE,EGY,1171816
KHM,VNM,1171612
VNM,KHM,1171612
QAT,IND,1165520
GBR,ROU,1164048
IND,KWT,1151299
KWT,IND,1151299
IND,QAT,1150378
IDN,SAU,1138819
SAU,IDN,1138819
LAO,VNM,1135404
VNM,LAO,1135404
KHM,THA,1134749
ALB,GRC,1133223
GRC,ALB,1133223
NLD,TUR,1120568
EGY,ARE,1118654
GRC,ROU,1117109
ROU,GRC,1117109
USA,HKG,1114417
RUS,THA,1114135
THA,RUS,1114135
DNK,ITA,1113426
TJK,RUS,1110173
GEO,RUS,1104086
RUS,GEO,1104086
RUS,UZB,1103233
PRT,NLD,1102561
ITA,DNK,1100606
BGR,DEU,1098572
DEU,BGR,1098572
ROU,GBR,1091455
AUT,CZE,1090958
CZE,AUT,1090958
SAU,BGD,1086529
ESP,POL,1083871
NLD,PRT,1083741
AUS,MYS,1074015
GRC,CYP,1068840
CYP,GRC,1065234
SGP,VNM,1062662
POL,ESP,1062250
GBR,CHN,1055570
CHN,IND,1050447
IND,CHN,1050447
VNM,SGP,1050201
HKG,USA,1039759
THA,USA,1038993
USA,THA,1038993
GBR,THA,1038285
THA,GBR,1038285
RUS,ARM,1036227
SAU,SDN,1036073
MAR,ESP,1034976
PER,USA,1031894
MYS,AUS,1027995
PRT,ITA,1026636
CHE,HKG,1024828
HKG,CHE,1024828
DEU,EGY,1023458
ESP,MAR,1022123
USA,PER,1017635
IDN,HKG,1013137
CZE,HUN,1012695
HUN,CZE,1012695
EGY,DEU,1012467
SWE,FIN,1011537
BGD,SAU,1010674
JPN,IDN,1006275
LVA,POL,1001490
POL,LVA,1001490
IDN,JPN,1001439
FIN,SWE,1001334
HUN,ITA,1001132
ITA,HUN,1001132
CHN,GBR,994468
HKG,IDN,993238
ITA,PRT,992521
JPN,VNM,988702
CHE,TUR,986003
SWE,POL,981691
DOM,CAN,976103
VNM,JPN,974355
POL,SWE,974329
ARM,RUS,970036
RUS,TJK,965607
NLD,CHE,962017
BHR,ARE,955586
CHE,NLD,953843
TUR,NLD,953822
CAN,DOM,952203
TUR,CHE,951660
ARE,BHR,950769
AUT,POL,939264
POL,AUT,939264
VNM,MYS,933072
RUS,KGZ,932602
MLT,GBR,930481
GBR,MLT,928399
MYS,VNM,927462
SAU,PHL,926428
KGZ,RUS,925689
FRA,DNK,920398
AZE,TUR,917630
TUR,AZE,917630
GBR,BGR,916813
DNK,FRA,915504
MYS,HKG,914815
BGD,ARE,908695
CHL,BRA,907026
HKG,MYS,905680
AUS,THA,904557
THA,AUS,904557
AUT,USA,901408
USA,AUT,901408
DEU,THA,900666
RUS,TUR,899270
TUR,RUS,899270
DEU,ROU,898441
ESP,FIN,894045
LVA,RUS,886597
RUS,LVA,886597
THA,DEU,885240
PHL,SAU,885090
SDN,SAU,881136
CHN,KHM,879897
KHM,CHN,879897
TUR,FRA,871619
JPN,AUS,869570
ARE,DEU,866116
BRA,CHL,865951
DEU,ARE,865875
BGR,GBR,863417
ARE,BGD,861813
CAN,ITA,860084
ITA,CAN,860084
AUS,JPN,859132
LKA,IND,857366
DNK,USA,855019
FRA,TUR,854931
SAU,USA,854228
USA,SAU,854228
ROU,DEU,852536
GRC,USA,852322
USA,GRC,852322
USA,DNK,848962
MAR,BEL,848954
THA,IDN,848374
IDN,THA,847070
DEU,FIN,846813
BEL,MAR,846252
IRL,ITA,845362
USA,GTM,843254
GBR,HRV,840822
HRV,GBR,839658
FIN,ESP,839234
ITA,IRL,836915
TUR,IRQ,836571
ITA,TUR,835005
HUN,POL,834913
POL,HUN,834913
MYS,JPN,830258
IND,LKA,828335
USA,SWE,828048
SWE,USA,826767
TUR,ITA,822502
AUS,HKG,822260
GTM,USA,820753
MLT,ITA,820152
FIN,DEU,819261
ITA,MLT,817912
PRT,BEL,816988
JPN,MYS,811527
ITA,ALB,809489
MYS,KOR,806535
TUR,AUT,806277
AUT,TUR,806144
IRQ,TUR,804321
KOR,MYS,801401
ALB,ITA,800969
AUT,CHN,797461
CHN,AUT,797461
SWE,ITA,795154
FRA,SWE,789213
ITA,SWE,788108
KOR,SGP,788058
SGP,KOR,788058
CYP,RUS,787201
RUS,CYP,787201
BEL,PRT,781134
HKG,AUS,778830
SWE,FRA,778508
HRV,POL,777523
POL,HRV,777523
POL,USA,772689
USA,POL,772689
CHE,GRC,771790
GRC,RUS,771128
USA,HTI,769877
USA,SLV,763989
AUS,ITA,761873
ITA,AUS,761873
GRC,CHE,759386
RUS,GRC,758933
SLV,USA,758379
BRA,PRT,757567
PRT,BRA,757567
GBR,LTU,747979
HTI,USA,747730
LTU,GBR,742653
USA,VNM,742060
CZE,HRV,741969
HRV,CZE,741969
TUN,LBY,733756
ESP,MEX,731542
MEX,ESP,731542
PAK,GBR,731199
DEU,JPN,728301
JPN,DEU,728301
USA,VEN,727637
ARE,JOR,724520
ITA,CHN,723710
JOR,ARE,722956
ITA,MAR,722536
GBR,PAK,719440
NLD,IRL,718003
BRA,URY,716555
URY,BRA,716555
MAR,ITA,716428
ISL,GBR,715547
HKG,GBR,713240
KOR,MAC,713115
MAC,KOR,713115
LBY,TUN,712573
CHN,ITA,712502
FRA,MEX,711471
MEX,FRA,711471
POL,IRL,710775
DEU,ISR,710603
GBR,HKG,707422
HUN,USA,706393
USA,HUN,706393
ROU,ESP,706367
VEN,USA,706008
ISR,DEU,701474
GBR,ISL,700766
ESP,ROU,698328
IRL,POL,697345
BEL,GRC,695763
MAR,GBR,695336
CAN,IND,687306
GBR,MAR,686826
