source,target,estimated_trips
BHR,LBN,21022
PAN,FRA,21015
CHE,CHL,21011
CAN,TZA,20999
TZA,CAN,20999
MRT,FRA,20969
ZMB,MWI,20968
MEX,DNK,20963
PLW,KOR,20963
LVA,UZB,20945
SLE,USA,20943
BHR,IDN,20919
NLD,QAT,20912
CHL,KOR,20903
KOR,CHL,20903
KOR,GRC,20902
CHN,SMR,20891
SMR,CHN,20891
MEX,ROU,20888
ROU,MEX,20888
CMR,BEL,20878
BOL,ECU,20859
ECU,BOL,20859
KEN,QAT,20854
PAK,NLD,20850
BFA,TGO,20840
TGO,BFA,20840
HKG,SAU,20825
SAU,HKG,20825
CHN,COG,20817
COG,CHN,20817
NLD,ECU,20815
DOM,AUT,20810
GBR,BLR,20804
VGB,KNA,20772
IRN,BEL,20762
CHE,ALB,20750
BRB,DEU,20739
MMR,DEU,20727
CHL,CHE,20689
ECU,NLD,20685
MDA,GRC,20683
MEX,NZL,20682
NZL,MEX,20682
COL,ISR,20668
ISR,COL,20668
PAK,KOR,20641
RWA,BDI,20635
SWE,KOR,20632
CHL,CRI,20627
CRI,CHL,20627
IND,COD,20627
NOR,SVK,20624
SVK,NOR,20624
BHR,LKA,20611
IDN,BHR,20602
DEU,BGD,20591
MYS,DNK,20581
ESP,ARM,20569
KNA,VGB,20562
LBN,BHR,20547
KWT,NLD,20541
IRL,MDA,20538
MYS,IRL,20504
BGD,JOR,20501
MWI,ZMB,20485
IRQ,AUS,20442
HTI,CUB,20431
HUN,EGY,20422
ZAF,GAB,20404
KOR,SWE,20396
AZE,USA,20394
MYS,NGA,20393
QAT,NLD,20389
TUN,MLT,20379
CHE,KWT,20376
UZB,UKR,20353
TTO,SUR,20297
CHN,COD,20277
LTU,MLT,20272
SGP,IRL,20258
LBN,BRA,20232
BFA,MLI,20229
MLI,BFA,20229
MDA,IRL,20220
DEU,MMR,20203
BLR,GBR,20191
MLT,LTU,20184
LTU,SVK,20178
SVK,LTU,20178
IDN,SWE,20172
ZAF,PHL,20169
IRL,NGA,20167
EGY,HUN,20166
KWT,CHE,20158
EGY,ROU,20122
ROU,EGY,20122
ARG,THA,20112
GRC,SGP,20087
HKG,MNG,20086
BEL,PER,20077
PER,BEL,20077
CHN,CMR,20068
JOR,SDN,20065
BGR,JPN,20056
JPN,BGR,20056
ETH,ISR,20033
QAT,CHE,20024
SWE,VNM,20023
CHN,CRI,20017
CRI,CHN,20017
CUB,HTI,20016
BRA,LBN,19993
ARM,ESP,19961
AUS,KEN,19951
AUT,IDN,19940
CHN,EST,19936
EST,CHN,19936
ITA,CPV,19918
PAK,GRC,19904
CMR,CHN,19902
ESP,GMB,19889
EGY,KOR,19881
KOR,EGY,19881
ETH,ITA,19876
DNK,CUB,19866
GBR,SOM,19831
VNM,SWE,19804
CRI,ISR,19793
ISR,CRI,19793
ITA,CIV,19782
NLD,JOR,19741
CUB,DNK,19740
CZE,SAU,19696
FJI,TON,19696
SAU,CZE,19696
BGD,BRN,19677
KHM,DEU,19661
NGA,ZWE,19657
ZWE,NGA,19657
PER,CHE,19654
LBN,IND,19650
CHE,JOR,19646
JPN,MLT,19635
TZA,CHE,19624
PHL,ZAF,19612
NIC,COL,19611
BGD,DEU,19585
SWE,JOR,19524
ISR,MLT,19521
MLT,ISR,19521
MYS,SDN,19520
AUT,MUS,19507
ISL,HUN,19504
SWZ,USA,19504
USA,SWZ,19504
GIN,MAR,19485
CAN,LAO,19469
LAO,CAN,19469
COD,CHN,19466
CHE,QAT,19454
IRL,SAU,19441
HKG,POL,19422
FRA,NPL,19398
NLD,KWT,19395
IDN,AUT,19394
TON,FJI,19378
IND,LBN,19373
QAT,SGP,19333
CIV,GAB,19317
BTN,BGD,19300
GMB,ESP,19292
KWT,BIH,19283
CPV,SEN,19278
BGD,BTN,19276
GEO,EGY,19245
COD,IND,19231
BLR,TKM,19224
BDI,KEN,19214
AUT,KWT,19204
MKD,SVK,19191
AUT,ISL,19189
BGD,MMR,19184
KEN,BDI,19183
PHL,JOR,19183
IRQ,OMN,19170
ALB,CHE,19167
ATG,LCA,19151
JOR,NLD,19147
SVK,MKD,19145
TKM,BLR,19140
MLT,TUN,19134
GAB,ZAF,19120
JOR,SWE,19106
NGA,LBR,19103
MMR,BGD,19096
AUS,ROU,19088
JOR,CHE,19088
ROU,AUS,19088
EGY,GEO,19064
LBY,SDN,19052
SDN,MYS,19052
MDG,ZAF,19050
AGO,NGA,19029
DOM,BOL,19008
CUB,BHS,18995
KEN,TUR,18993
NOR,VNM,18988
UKR,UZB,18986
ROU,SMR,18953
SMR,ROU,18953
FRA,TCD,18949
NGA,AGO,18941
MUS,AUT,18933
LAO,FRA,18906
IRL,EST,18903
TKM,KAZ,18895
NGA,TZA,18872
TZA,NGA,18872
LUX,BGR,18848
VNM,NOR,18833
ARM,LBN,18831
LBN,ARM,18830
BGR,LUX,18825
KAZ,TKM,18823
BEL,CHL,18821
CHL,BEL,18821
AUS,IRQ,18808
LKA,ESP,18798
CHE,SEN,18796
GRC,MDA,18790
ISL,AUT,18786
DOM,GTM,18773
ETH,UGA,18773
UGA,ETH,18773
ZAF,MDG,18752
SOM,GBR,18748
CHE,CRI,18742
FIN,KOR,18715
HND,NIC,18707
ALB,NLD,18701
CHE,PER,18666
GRC,KOR,18648
BHR,FRA,18637
MDV,ESP,18635
LCA,VCT,18634
MLT,JPN,18620
MLT,NOR,18611
PRT,DOM,18598
ETH,TUR,18579
BEL,COL,18559
COL,BEL,18559
MUS,SYC,18559
BRA,PHL,18536
IRL,SGP,18530
GRC,PAK,18512
MAR,LBN,18466
IRL,MYS,18455
BLR,CYP,18430
SYC,MUS,18426
PRT,GNB,18391
NOR,SVN,18388
SVN,NOR,18388
CYP,BLR,18386
IRN,JPN,18371
BEL,KHM,18367
KHM,BEL,18367
SWE,MEX,18363
DOM,PRT,18360
AUT,LBN,18359
NPL,FRA,18337
ETH,TZA,18326
CIV,ITA,18322
PHL,BRA,18293
EST,IRL,18289
USA,COD,18280
ALB,CAN,18254
CAN,ALB,18254
CZE,AZE,18231
LBR,NGA,18220
JPN,ARG,18209
TCD,FRA,18166
TZA,MWI,18160
ISR,PER,18158
PER,ISR,18158
LKA,PHL,18157
PHL,LKA,18157
UZB,ITA,18154
TUR,BGD,18138
CHN,MLI,18067
MLI,CHN,18067
ARG,ARE,18050
PHL,GRC,18050
UZB,LVA,18049
ITA,UZB,18047
KWT,AUT,18002
CYP,IND,18000
BRN,GBR,17971
CZE,HKG,17971
NLD,DOM,17971
GBR,BIH,17944
JPN,IRN,17939
CAN,VEN,17933
VEN,CAN,17933
GNB,PRT,17932
ISR,UZB,17926
HKG,CZE,17925
LAO,PHL,17923
PHL,LAO,17923
SOM,SAU,17899
UZB,AZE,17869
GNQ,BEN,17867
NOR,MLT,17843
CHL,SWE,17840
URY,ITA,17822
NOR,IRN,17813
SEN,CHE,17806
GTM,DOM,17800
MOZ,CHN,17785
ITA,BHR,17758
MUS,ESP,17698
JAM,BRB,17696
HUN,ISL,17672
TUR,CUB,17672
BOL,DOM,17659
ESP,TZA,17651
OMN,IRQ,17649
AZE,CZE,17636
MEX,SGP,17636
SGP,MEX,17636
IRN,NOR,17600
NLD,ALB,17596
SGP,AUT,17593
MUS,HKG,17591
IRN,PHL,17587
PHL,IRN,17587
CAN,SVK,17585
SVK,CAN,17585
ITA,URY,17548
FRA,ETH,17543
BIH,GBR,17535
TUR,KEN,17531
MEX,SWE,17529
NZL,CHE,17514
OMN,IDN,17513
CRI,CHE,17495
CZE,ZAF,17456
ZAF,CZE,17456
BGD,ZAF,17400
ETH,THA,17386
HKG,GRC,17382
FJI,WSM,17380
KOR,KWT,17348
KWT,KOR,17348
ARG,JPN,17334
SGP,UKR,17326
BIH,DNK,17302
BRN,VNM,17302
SWE,LKA,17257
THA,GRC,17247
AUT,SGP,17233
BEL,SAU,17219
SAU,BEL,17219
CHN,SYC,17201
SYC,CHN,17201
SWE,CHL,17177
VNM,ISR,17177
CAN,GHA,17167
SDN,KEN,17165
MEX,PHL,17163
PHL,MEX,17163
SEN,GAB,17162
LBN,MAR,17145
KEN,COM,17141
CHE,NZL,17095
DNK,BIH,17088
QAT,CAN,17087
MAR,JOR,17076
TUN,JOR,17062
UGA,DEU,17062
SVN,ALB,17055
VNM,BRN,17055
TUR,ETH,17053
KEN,AUS,17051
ALB,SVN,17029
GRC,THA,17029
CYP,CHN,16999
SEN,BEN,16998
IDN,CZE,16991
SAU,GHA,16985
CZE,NZL,16977
NZL,CZE,16977
GAB,CIV,16958
POL,ZAF,16945
ISR,KAZ,16911
THA,ETH,16902
BOL,JPN,16897
JPN,BOL,16897
ARG,TUR,16860
JOR,MAR,16854
CZE,IDN,16838
UZB,JPN,16819
SVN,DNK,16816
PRK,RUS,16813
GBR,BRN,16768
RUS,PRK,16755
BRB,JAM,16754
UZB,ISR,16745
CUB,TUR,16724
DNK,JOR,16718
BHR,ITA,16698
HKG,MUS,16662
GRC,HKG,16645
USA,AGO,16634
ZAF,POL,16633
AUS,MKD,16632
JOR,IDN,16632
ALB,RUS,16631
RUS,ALB,16631
AZE,UZB,16629
ZAF,QAT,16627
KEN,GHA,16624
LKA,SWE,16622
IRN,TJK,16620
KAZ,ISR,16619
AGO,USA,16605
TJK,IRN,16597
KIR,FJI,16596
JPN,UZB,16591
ITA,MDG,16557
NAM,GBR,16539
MKD,AUS,16527
URY,VEN,16483
VEN,URY,16483
KGZ,KOR,16462
KOR,KGZ,16462
AUS,TZA,16456
TZA,AUS,16456
BGR,IND,16431
IND,BGR,16431
LKA,CZE,16424
IDN,KWT,16415
KWT,IDN,16415
DEU,UGA,16402
BGD,FRA,16364
DNK,SVN,16338
MAR,MEX,16335
MEX,MAR,16335
CHN,CYP,16325
PSE,USA,16317
USA,PSE,16317
NLD,CHL,16315
PHL,LBN,16309
NOR,BIH,16303
JPN,CUB,16297
CAN,QAT,16283
JOR,DNK,16281
JOR,UKR,16270
UKR,JOR,16270
KEN,SWE,16256
OMN,SDN,16248
BIH,NOR,16245
QAT,JPN,16240
HKG,NOR,16215
SWE,KEN,16212
LUX,CZE,16200
BIH,CHN,16195
CHN,BIH,16195
JOR,TUN,16192
DOM,PRY,16166
LVA,BGR,16147
MAC,NZL,16127
NZL,MAC,16127
BEL,MUS,16118
COM,KEN,16118
MUS,BEL,16118
UZB,FRA,16116
PRT,TUN,16112
COL,JPN,16098
JPN,COL,16098
KEN,ZWE,16096
LUX,TUN,16088
AUT,JOR,16087
VNM,SAU,16082
GHA,KEN,16075
LKA,ISR,16031
MEX,UKR,16021
UKR,MEX,16021
QAT,ZAF,16015
PAK,BEL,15985
CZE,LKA,15978
AUS,BRN,15959
BRN,AUS,15959
VUT,FJI,15943
ETH,OMN,15937
WSM,FJI,15920
MLT,CZE,15907
GRC,PHL,15890
JOR,AUT,15889
QAT,DZA,15886
COL,NIC,15880
KEN,SDN,15877
ZAF,ARG,15861
FJI,VUT,15857
MWI,TZA,15845
DEU,MNG,15834
TUN,PRT,15824
BEN,SEN,15823
MLI,SAU,15822
SAU,MLI,15822
ECU,DOM,15819
VNM,LKA,15815
FRA,BGD,15800
URY,FRA,15799
FRA,LAO,15788
ETH,FRA,15774
ZWE,KEN,15760
VNM,AUT,15745
DOM,HTI,15741
AUS,TLS,15734
TLS,AUS,15734
LBN,AUT,15731
NAM,FRA,15728
DOM,ECU,15717
GEO,ROU,15707
ROU,GEO,15707
CZE,LUX,15694
QAT,ETH,15694
GHA,CAN,15673
MUS,SGP,15672
SGP,MUS,15672
LKA,JOR,15657
CPV,BRA,15649
BEL,PAK,15643
FRA,UZB,15643
RUS,ZAF,15584
ZAF,RUS,15584
CUB,JPN,15573
IRQ,CAN,15558
PRY,DOM,15550
HUN,HKG,15548
NOR,EGY,15543
FJI,KIR,15535
GEO,AUT,15532
MYS,SWE,15524
HTI,DOM,15519
SWE,MYS,15511
CAN,MMR,15504
MMR,CAN,15504
ESP,ALB,15500
SAU,SOM,15492
LKA,AUT,15483
CHL,NLD,15481
SWE,TZA,15461
RWA,ARE,15449
TCA,BHS,15448
JOR,KOR,15414
KOR,JOR,15414
BIH,ROU,15412
ROU,BIH,15412
CHN,TUN,15398
TUN,CHN,15398
MYS,BHR,15381
ALB,ESP,15380
EGY,NOR,15376
CZE,MLT,15375
CYP,CZE,15369
CZE,CYP,15369
JPN,QAT,15363
ESP,MLI,15350
GBR,CYM,15344
AUT,GEO,15332
ARE,ZMB,15325
LKA,BEL,15325
CYM,GBR,15318
MLI,TUN,15315
SWE,ETH,15310
BRA,NGA,15309
NGA,BRA,15309
PRT,IDN,15304
GRC,ARM,15262
HRV,ZAF,15249
ZAF,HRV,15249
BGR,LVA,15236
DNK,TZA,15217
SDN,OMN,15194
CZE,LBN,15188
POL,EGY,15187
BEL,RWA,15186
BEL,LKA,15178
ARE,ARG,15176
AUS,KWT,15166
KWT,AUS,15166
CHN,NAM,15165
NAM,CHN,15165
UKR,SGP,15162
AUS,ECU,15139
ECU,AUS,15139
ATG,VGB,15096
AUT,VNM,15084
RWA,BEL,15083
IRQ,AUT,15074
KAZ,MYS,15071
MYS,KAZ,15071
AUS,BGR,15058
BGR,AUS,15058
JOR,LKA,15043
MAR,LUX,15029
ITA,CMR,15024
KAZ,AUT,15021
ARM,GRC,15007
EST,KOR,14985
KOR,EST,14985
PRT,ARG,14971
CUB,SWE,14963
SYR,IRN,14957
ARG,ZAF,14949
ISR,LKA,14934
TCA,DOM,14931
KEN,DNK,14921
QAT,AUT,14888
UZB,BLR,14875
ARE,RWA,14872
DOM,TCA,14862
LUX,MAR,14859
BHR,MYS,14853
MNG,DEU,14845
SWE,CUB,14842
IRN,SYR,14823
TZA,MOZ,14822
MDA,PRT,14821
LKA,NOR,14814
ZAF,BGD,14792
CHE,GEO,14789
TZA,ETH,14785
FRA,URY,14779
CAN,NPL,14757
NPL,CAN,14757
TUN,LUX,14736
COL,RUS,14733
RUS,COL,14733
LKA,VNM,14732
TUN,MLI,14729
DEU,SEN,14726
PER,SLV,14725
SLV,PER,14725
ARM,BEL,14716
CAN,IRQ,14706
MYS,HUN,14702
ALB,UKR,14683
EGY,POL,14683
UKR,ALB,14683
HUN,MYS,14660
BRA,ROU,14659
ROU,BRA,14659
IDN,FIN,14658
FIN,IDN,14628
PER,RUS,14610
RUS,PER,14610
TJK,DEU,14596
ITA,BFA,14562
DEU,VEN,14546
CAN,HND,14544
TUR,MDV,14532
NLD,PAN,14531
BHS,TCA,14521
SDN,KWT,14521
EGY,ETH,14492
FRA,ECU,14483
ECU,FRA,14465
HKG,HUN,14433
CYP,SAU,14423
SEN,NER,14422
CHN,PNG,14419
PNG,CHN,14419
PAK,IRL,14412
SVK,ARE,14400
CYP,DNK,14393
ARE,SVK,14378
NOR,LKA,14369
DNK,CYP,14362
IRL,PAK,14353
BIH,MKD,14329
MKD,BIH,14329
AGO,ARE,14324
LBN,CZE,14324
MOZ,TZA,14311
AUT,KAZ,14302
ESP,KHM,14296
AUS,CRI,14285
CRI,AUS,14285
PER,GTM,14285
HUN,LVA,14277
LKA,LBN,14276
ETH,EGY,14260
NOR,HKG,14258
GBR,NAM,14243
BEL,ARM,14242
PRT,MDA,14227
DZA,MLI,14219
MLI,DZA,14219
VEN,DEU,14218
PAK,CHE,14212
ZMB,ARE,14208
SGP,QAT,14204
OMN,MAR,14200
CIV,NER,14197
NER,BFA,14197
IRQ,KOR,14194
KAZ,LVA,14188
LVA,KAZ,14188
HND,CAN,14186
ECU,CRI,14171
MLI,GAB,14166
AUT,ARM,14161
MOZ,ARE,14161
KEN,MWI,14128
PAN,GBR,14098
DNK,KEN,14096
GBR,PAN,14090
GEO,CHE,14066
SEN,CMR,14063
ESP,LKA,14054
MWI,USA,14009
USA,MWI,14009
CHE,SYC,13986
BFA,NER,13967
DEU,TJK,13967
GTM,FRA,13955
ESP,BGD,13950
NGA,SDN,13942
MDV,TUR,13932
MAR,UKR,13929
UKR,MAR,13929
BFA,ITA,13913
CIV,GBR,13901
CAN,CMR,13898
IDN,PRT,13898
PHL,POL,13893
POL,PHL,13893
NGA,UGA,13865
UGA,NGA,13865
OMN,KEN,13843
SYC,CHE,13833
PRT,EST,13821
OMN,NPL,13807
CAN,FJI,13805
AUS,CYP,13800
CYP,AUS,13800
GTM,PER,13795
LVA,HUN,13768
PRT,LVA,13762
ESP,GHA,13754
CPV,CHE,13748
EST,PRT,13741
AUT,QAT,13733
GAB,SEN,13731
CHE,CMR,13724
COD,USA,13723
MWI,KEN,13709
SLV,ESP,13703
CHE,CPV,13696
SEN,DEU,13689
COG,MAR,13685
MAR,COG,13685
BOL,URY,13677
URY,BOL,13677
BEN,CHN,13669
CHN,BEN,13669
MAR,OMN,13669
GHA,FRA,13664
CHE,KAZ,13657
NZL,ESP,13646
AUT,LKA,13634
KGZ,USA,13632
USA,KGZ,13632
KWT,SDN,13626
UKR,HKG,13622
KAZ,ARM,13609
CMR,ITA,13608
LAO,RUS,13603
RUS,LAO,13603
DEU,BRB,13598
VGB,ATG,13596
DZA,IND,13593
ZAF,CMR,13591
PRT,SEN,13577
NZL,LKA,13556
CMR,ZAF,13551
TZA,SWE,13541
ARE,COD,13540
BEN,GNQ,13538
THA,BTN,13527
OMN,TUN,13520
AUS,MLT,13507
GBR,CIV,13507
BLR,UZB,13506
TUN,OMN,13505
IRQ,BGD,13502
BWA,IND,13483
NPL,OMN,13480
CHE,NGA,13478
IND,BWA,13468
SEN,ARE,13460
PRY,DEU,13450
CRI,ECU,13439
HKG,UKR,13434
BEL,ETH,13426
ETH,BEL,13426
ISL,LTU,13423
TZA,ESP,13401
HUN,AZE,13399
KOR,ZWE,13396
ZWE,KOR,13396
NER,CIV,13354
THA,MNG,13339
ALB,AUS,13338
AUS,ALB,13338
RUS,DZA,13338
CHE,PAK,13336
FRA,GTM,13310
USA,GIN,13294
ARE,SEN,13280
MYS,UKR,13276
UKR,MYS,13276
CAN,MLT,13264
PAN,NLD,13253
ARE,AGO,13250
FIN,BRA,13249
MDA,CYP,13234
COD,ARE,13211
BEL,NZL,13199
NZL,BEL,13199
MWI,GBR,13182
CMR,CHE,13180
KAZ,CHE,13176
CAF,FRA,13174
CHL,RUS,13166
RUS,CHL,13166
SAU,MRT,13166
CMR,GBR,13163
KOR,IRQ,13160
LBN,MYS,13159
SAU,CYP,13159
PNG,USA,13144
USA,PNG,13144
LBN,LKA,13117
VNM,AGO,13100
ETH,SWE,13097
CHE,BLR,13096
GHA,ESP,13089
JPN,NGA,13089
NGA,JPN,13089
IND,GHA,13088
KNA,GBR,13076
ARE,ZWE,13073
BLR,CHE,13063
ARG,PRT,13057
THA,KEN,13055
GBR,CMR,13050
DZA,RUS,13039
POL,MEX,13036
IND,BRN,13012
ARM,KAZ,13011
NOR,IDN,13004
ARM,AUT,13002
BLR,HRV,12998
HRV,BLR,12998
ESP,NZL,12995
ZAF,CIV,12994
GHA,IND,12992
BOL,CAN,12990
CAN,BOL,12990
LVA,PRT,12988
NGA,CHE,12985
BWA,GBR,12981
MLI,ESP,12973
BEL,CIV,12951
GBR,MWI,12951
TGO,USA,12949
USA,TGO,12949
FJI,CAN,12947
JPN,UKR,12944
UKR,JPN,12944
ROU,FIN,12932
BEL,GHA,12929
CMR,SEN,12903
SEN,CHN,12900
MLT,AUS,12881
BRA,SVN,12871
SVN,BRA,12871
BRA,FIN,12862
ESP,SLV,12851
FRA,NAM,12851
SWE,TUN,12845
IND,DZA,12834
FIN,VNM,12833
MMR,ITA,12818
NER,SEN,12811
BHR,CHN,12797
IDN,PAK,12794
TUN,SWE,12780
NZL,PNG,12777
PNG,NZL,12777
TZA,DNK,12772
FIN,ROU,12771
MAR,GRC,12749
ZWE,ARE,12742
DOM,NLD,12741
MEX,POL,12739
CIV,ZAF,12736
KOR,QAT,12736
MAR,GAB,12733
AZE,HUN,12727
POL,SAU,12712
NZL,TUR,12711
TUR,NZL,12711
BRA,EGY,12688
EGY,BRA,12688
USA,TON,12684
AUT,ARG,12663
ZAF,COG,12653
BGD,ESP,12647
TON,USA,12633
COL,KOR,12624
KOR,COL,12624
IRQ,CHE,12614
KEN,BEL,12585
SEN,COG,12584
ETH,QAT,12577
GUY,SUR,12559
IDN,NOR,12540
MLT,CAN,12506
GRC,MEX,12498
IRN,IDN,12485
NLD,ETH,12481
PNG,FJI,12480
IRN,ROU,12477
ROU,IRN,12477
TKM,UKR,12477
FRA,GHA,12471
DZA,AUT,12457
CZE,GEO,12456
AUT,DZA,12452
DEU,PRY,12448
NAM,CHE,12408
AUT,IRQ,12406
PAK,JOR,12397
SAU,POL,12383
IDN,IRN,12380
MUS,USA,12376
USA,MUS,12376
BEL,ARG,12375
BEL,CRI,12369
CRI,BEL,12369
GEO,CZE,12347
UZB,MYS,12347
GIN,USA,12342
POL,IDN,12342
GMB,GHA,12332
DZA,QAT,12328
PHL,AGO,12327
IRQ,FIN,12324
KWT,SGP,12324
SGP,KWT,12324
UGA,NLD,12321
ZAF,RWA,12316
SYR,OMN,12290
GTM,CUB,12285
OMN,SYR,12278
GEO,ARM,12273
SUR,GUY,12271
LBR,SLE,12259
DEU,URY,12233
COG,ZAF,12224
MEX,GRC,12217
ARG,GRC,12215
PRT,COL,12214
COD,CMR,12212
SLV,CUB,12173
URY,PAN,12166
CHN,SEN,12150
VEN,FRA,12148
NIU,NZL,12142
MYS,AUT,12130
CYP,MDA,12113
SEN,GBR,12107
ITA,KHM,12097
TZA,EGY,12081
ARM,GEO,12071
ARG,AUT,12041
QAT,KOR,12037
NLD,OMN,12032
IDN,POL,12018
BRN,IND,12010
ISR,PAN,11989
PAN,ISR,11989
GHA,BEL,11988
GBR,KNA,11983
BEL,KEN,11979
RWA,ZAF,11979
COG,LBN,11978
TCA,JAM,11976
NZL,NIU,11956
THA,ROU,11955
CIV,CHN,11949
ITA,MMR,11945
CHE,IRQ,11935
SDN,NGA,11935
GBR,SEN,11934
IRQ,UKR,11931
GBR,BWA,11926
ITA,BHS,11922
GHA,GMB,11914
NZL,RUS,11900
RUS,NZL,11900
IND,SVK,11897
SVK,IND,11897
LKA,NZL,11893
LBN,COG,11890
ARE,MKD,11872
MYS,UZB,11871
SLE,LBR,11871
BGR,KAZ,11870
KAZ,BGR,11870
KWT,TUN,11847
TUN,KWT,11847
KEN,THA,11834
MNG,THA,11834
EGY,HKG,11817
USA,BWA,11817
LBN,THA,11816
HUN,BRA,11811
HKG,EGY,11792
URY,DEU,11767
ITA,NPL,11749
BEL,NAM,11747
NAM,BEL,11747
ISR,MAC,11745
MAC,ISR,11745
GEO,CYP,11727
LTU,ISL,11720
FJI,PNG,11715
BOL,ITA,11714
BGD,EGY,11707
BEL,JOR,11705
THA,LBN,11701
MYS,LBN,11694
BEL,GEO,11686
BRA,HUN,11677
COL,IND,11676
IND,COL,11676
VNM,FIN,11675
USA,BFA,11671
AUS,SVK,11648
SEN,PRT,11648
SVK,AUS,11648
CHN,BHR,11619
KOR,NGA,11615
NGA,KOR,11615
TGO,GAB,11615
MDG,ITA,11614
GRC,MAR,11609
CAN,MUS,11608
DEU,ZWE,11606
MUS,KEN,11598
AUT,MYS,11597
SGP,PRT,11588
ESP,AGO,11586
CAN,UGA,11585
UGA,CAN,11585
USA,MLI,11582
GEO,BEL,11578
ISR,KHM,11577
KHM,ISR,11577
QAT,HKG,11577
PRT,SGP,11558
ARG,BEL,11554
RUS,SYC,11553
SYC,RUS,11553
ISR,NGA,11549
NGA,ISR,11549
VCT,GBR,11539
UGA,BDI,11526
RUS,LUX,11524
MLT,ARE,11516
ISR,VNM,11515
TKM,DEU,11511
DNK,MDV,11508
MYS,DZA,11508
OMN,NLD,11501
CIV,ARE,11498
ECU,IND,11497
IND,ECU,11497
JAM,TCA,11484
CAN,SEN,11483
FRA,VEN,11481
NLD,MUS,11473
DEU,SDN,11451
JPN,SVK,11450
SVK,JPN,11450
TUN,SEN,11450
GAB,MAR,11433
LVA,ARE,11431
CMR,COD,11411
GBR,URY,11409
ARE,LVA,11404
SAU,PRT,11397
JOR,PAK,11396
MYS,CZE,11392
FJI,KOR,11388
KOR,FJI,11388
DNK,ARG,11378
QAT,DNK,11372
IND,AGO,11368
CUB,GTM,11366
DEU,TKM,11358
BFA,GHA,11339
SDN,DEU,11339
JOR,BEL,11338
ROU,THA,11338
JAM,ATG,11326
NLD,NPL,11300
PRT,SAU,11300
CYP,GEO,11290
MMR,ARE,11275
BOL,VEN,11259
VEN,BOL,11259
ITA,BOL,11252
CHN,CIV,11247
BRA,CPV,11227
GHA,BFA,11227
GAB,TGO,11222
CHE,ECU,11217
SYC,MDG,11206
ARE,CIV,11193
BEL,TZA,11159
TZA,BEL,11159
DZA,MYS,11154
BTN,THA,11152
EGY,TZA,11149
NPL,ITA,11149
DEU,TGO,11130
IND,CYP,11130
BWA,NAM,11124
MDV,DNK,11114
UKR,SAU,11102
ESP,BHR,11092
JPN,KEN,11086
CHN,ZWE,11077
BGD,IRQ,11074
SVN,SWE,11072
KAZ,SAU,11066
SAU,KAZ,11066
SWE,PAK,11063
KEN,JPN,11060
BHR,ETH,11056
CUB,BOL,11056
MLI,USA,11052
TGO,SEN,11050
BFA,USA,11043
MAR,BHR,11021
UKR,IRQ,11016
ECU,CHE,11007
CZE,MDV,11000
AUS,EST,10998
EST,AUS,10998
AGO,ESP,10996
MRT,ARE,10992
LUX,RUS,10978
BGR,SMR,10977
SMR,BGR,10977
ALB,SVK,10973
SVK,ALB,10973
ROU,LBN,10969
ARE,MLT,10961
MUS,NLD,10946
AUT,KEN,10940
KWT,CZE,10939
ROU,TUN,10934
TUN,ROU,10934
CIV,BEL,10917
LBN,ROU,10908
KHM,CHE,10903
SAU,VNM,10896
CHE,KHM,10884
CAN,LUX,10882
SWE,SVN,10876
LUX,CAN,10871
AZE,KGZ,10868
KGZ,AZE,10868
FIN,LUX,10862
MRT,SAU,10845
LBN,VEN,10839
MMR,CHE,10824
CYP,KAZ,10823
PRT,LTU,10813
MYS,NOR,10805
CHE,NAM,10804
CMR,CAN,10793
SEN,CAN,10787
BLR,SWE,10785
KEN,AUT,10779
SEN,TGO,10777
MDA,POL,10776
ARM,ISR,10769
ZAF,SEN,10769
NLD,UGA,10759
DEU,BOL,10758
NRU,AUS,10750
SEN,ZAF,10747
USA,MHL,10745
SGP,HUN,10740
SGP,MNG,10728
PHL,BGD,10723
ARE,MRT,10718
BHR,MAR,10715
FRA,CAF,10712
MEX,ZAF,10711
ZAF,MEX,10711
ESP,NPL,10709
GBR,ARM,10708
MNG,SGP,10704
CHN,JAM,10701
JAM,DOM,10701
JAM,CHN,10701
NOR,MYS,10701
POL,MDA,10697
AUS,MNG,10693
SDN,LBN,10693
LSO,SWZ,10688
NOR,CUB,10688
SWZ,LSO,10688
CHE,NPL,10681
GTM,DEU,10677
LTU,KAZ,10666
ISR,ARM,10665
FRA,ZWE,10652
BRA,MOZ,10644
BDI,UGA,10640
GHA,EGY,10634
CHN,GAB,10625
DJI,USA,10620
SGP,ROU,10618
BFA,MAR,10607
IND,RWA,10599
RWA,IND,10599
JOR,ZAF,10595
ZAF,JOR,10595
MAR,CMR,10587
HTI,BRA,10581
MUS,CAN,10578
NPL,BHR,10574
MOZ,BRA,10573
BWA,USA,10567
HKG,IRN,10565
ETH,NLD,10551
BOL,CUB,10548
SWE,MDV,10547
LUX,FIN,10546
SGP,UZB,10538
SVN,GRC,10534
BRA,MYS,10531
MYS,BRA,10531
UZB,SGP,10529
MUS,CZE,10522
SMR,USA,10522
USA,SMR,10522
CUB,NOR,10521
BLZ,MEX,10520
MEX,BLZ,10520
EST,THA,10518
BHR,NPL,10513
IND,HRV,10510
MDV,QAT,10509
SGP,CZE,10508
FIN,ZAF,10504
